district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Georgia's 1st,GA-01,Endorsed Trump,Republican,42.3,57.700001,105942,144741,2018,63.599998,29.200001,4.0999999,1.4,0.40000001,87.599998,25.4,49245
Georgia's 1st,GA-01,Endorsed Trump,Republican,0,100,0,210243,2016,63.599998,29.200001,4.0999999,1.4,0.40000001,87.599998,25.4,49245
Georgia's 1st,GA-01,Endorsed Trump,Republican,39.1,60.900002,61175,95337,2014,63.599998,29.200001,4.0999999,1.4,0.40000001,87.599998,25.4,49245
Georgia's 2nd,GA-02,Democrat,Democratic,61.2,38.799999,148543,94056,2016,44,51.200001,2.5999999,0.89999998,0.2,81.699997,17.700001,36332
Georgia's 2nd,GA-02,Democrat,Democratic,59.6,40.400002,136699,92472,2018,44,51.200001,2.5999999,0.89999998,0.2,81.699997,17.700001,36332
Georgia's 2nd,GA-02,Democrat,Democratic,59.2,40.799999,96363,66537,2014,44,51.200001,2.5999999,0.89999998,0.2,81.699997,17.700001,36332
Georgia's 3rd,GA-03,Republican,Republican,31.7,68.300003,95969,207218,2016,70.400002,23.6,3.2,1.3,0.2,86.800003,26,55443
Georgia's 3rd,GA-03,Republican,Republican,0,100,0,156277,2014,70.400002,23.6,3.2,1.3,0.2,86.800003,26,55443
Georgia's 3rd,GA-03,Republican,Republican,34.5,65.5,101010,191996,2018,70.400002,23.6,3.2,1.3,0.2,86.800003,26,55443
Georgia's 4th,GA-04,Democrat,Democratic,78.8,21.200001,227717,61092,2018,29.6,61.5,3.8,3.4000001,0.2,87.199997,30.200001,52414
Georgia's 4th,GA-04,Democrat,Democratic,75.7,24.299999,220146,70593,2016,29.6,61.5,3.8,3.4000001,0.2,87.199997,30.200001,52414
Georgia's 4th,GA-04,Democrat,Democratic,100,0,161211,0,2014,29.6,61.5,3.8,3.4000001,0.2,87.199997,30.200001,52414
Georgia's 5th,GA-05,Democrat,Democratic,100,0,275406,0,2018,32.799999,59,3.3,3,0.2,88.099998,40.599998,47961
Georgia's 5th,GA-05,Democrat,Democratic,100,0,170326,0,2014,32.799999,59,3.3,3,0.2,88.099998,40.599998,47961
Georgia's 5th,GA-05,Democrat,Democratic,84.4,15.6,253781,46768,2016,32.799999,59,3.3,3,0.2,88.099998,40.599998,47961
Georgia's 6th,GA-06,Endorsed Trump,Republican,38.3,61.700001,124917,201088,2016,71.599998,14.3,5.3000002,7,0.30000001,93.300003,59.700001,86295
Georgia's 6th,GA-06,Endorsed Trump,Democratic,50.5,49.5,160139,156875,2018,71.599998,14.3,5.3000002,7,0.30000001,93.300003,59.700001,86295
Georgia's 6th,GA-06,Endorsed Trump,Republican,34,66,71486,139018,2014,71.599998,14.3,5.3000002,7,0.30000001,93.300003,59.700001,86295
